date,gameid
20121001,SKHH0
20121002,LTHT0
20121002,OBWO0
20121002,SSLG0
20121002,SKHH0
20121003,SKLG0
20121003,OBSS0
20121003,HTHH0
20121004,SKSS0
20121004,WOHH0
20121005,SSHT0
20121005,WOOB0
20121005,LTSK0
20121006,SSHT0
20121006,LGOB0
20121006,LTSK0
